novel_id	tag	gender	fullname
34621	1	1	胤禛
34643	1	1	天上天下
34643	2	0	小辫子
35228	1	2	小王子
35893	1	2	小欧
35893	1	1	阿杨
35968	2	0	乔治
35968	2	0	利奥
35968	2	0	戈弗雷
35968	1	2	玛丽娜
36229	2	0	莲溪
36575	2	0	多丽丝
36575	1	2	拜伦
36625	2	0	小莜
36640	2	0	德川家康
36640	2	0	竹千代
36739	2	0	哈利
36739	2	0	威廉
36782	2	0	小青
36782	2	0	小青
37044	2	0	小齐
37097	2	0	小娉
37161	2	0	小蛮
37161	2	0	小蛮
37462	2	0	诺诺
37683	1	1	伊凡
38002	1	2	格雷
38037	1	2	小安
38191	2	0	阿拓
38227	2	0	小秦
38227	1	1	重华
38335	2	0	紫竹
38420	2	0	玛沁
38499	1	1	小丸子
38499	1	1	小玉
38546	1	1	利菲尔特·拉塞亚
38546	2	0	爱弥尔·玛帝亚
38570	1	2	佐藤
38570	2	0	林肯
38669	1	2	小雨猪
38738	1	2	艾拉
38850	1	1	卡尔
38851	1	1	小暑
38951	2	0	卡尔
38951	2	0	朱利安
39041	2	0	西蒙
39051	1	2	小麦
39162	2	0	小莲
39221	1	1	小燕子
39227	1	1	小孩
39230	2	0	小胡子
39230	1	2	阿布
39230	1	2	阿布
39323	3	2	安迪
39423	1	1	性德
39567	1	2	雪莉
39632	2	0	小仪
39632	2	0	小仪
39784	2	0	阿信
39799	1	1	大兵
39799	1	1	大兵
39849	1	2	小夜
39939	1	1	天心
39980	2	0	阿梨
40074	2	0	小乖
40077	2	0	胤礻我
40077	2	0	胤禛
40077	2	0	胤禛
40077	2	0	胤禟
40077	2	0	胤禟
40077	1	1	胤禩
40077	1	1	胤禩
40119	2	0	宝儿
40121	1	1	小九
40121	2	0	小四
40121	2	0	小礽
40123	1	1	阿前
40131	1	1	小恐龙
40131	1	2	小猪
40301	2	0	婕妤
40301	2	0	小姨
40323	1	1	小芙子
40377	1	2	阿钢
40388	1	2	小鱼儿
40406	2	0	伊丽莎白
40438	2	0	雷蒙德
40571	2	0	老乞丐
40681	2	0	小烈
40756	1	2	若叶
40788	2	0	小绿
40802	1	2	秀秀
40814	2	0	小湾
40874	1	2	玛莎
40957	2	0	哈迪
41034	1	2	小青
41034	1	2	小青
41179	1	1	小真
41179	1	1	小雅
41181	1	2	阿克
41288	1	1	凯伊
41334	2	0	小四
41364	2	0	凯瑟琳
41364	1	2	安妮
41373	1	2	小丑
41373	1	2	小丑
41374	1	2	亚瑟
41374	1	1	凯瑟琳
41378	1	1	伊莎贝拉
41378	1	2	卡罗琳
41378	2	0	玛利亚
41378	2	0	约瑟夫
41379	1	1	胡安娜
41380	1	1	罗伊
41453	1	2	阿木雪
41594	1	1	大宝
41594	2	0	小建
41608	2	0	永恒
41666	2	0	弗莱彻
41755	2	0	小刀
41812	1	1	小妗
41813	2	0	桃城武
41813	1	1	越前龙雅
41813	1	1	越前龙马
41815	1	1	越前龙雅
41815	1	1	越前龙马
41902	1	2	哈代
42014	2	0	大石
42034	1	1	玛雅
42063	1	1	卡琳
42074	1	1	小枫
42074	1	1	小柚
42171	1	2	阿唐
42171	3	2	阿瑶
42311	2	0	小猪
42424	2	0	德妃
42424	2	0	胤祥
42424	2	0	胤祥
42424	3	2	胤禛
42424	3	2	胤禛
42424	2	0	胤禩
42424	2	0	胤禩
42431	1	1	夏树
42474	1	1	芙蓉
42523	2	0	凯琳
42672	1	1	越前龙马
42672	2	0	迹部景吾
42683	1	1	小涟
42688	2	0	艾瑞斯·沙
42780	2	0	小胖
42795	2	0	小户
42815	2	0	天籁
42815	2	0	小鱼
42892	2	0	唐纳德·瑞恩
43030	1	1	小葵
43071	1	1	怡然
43075	2	0	小宛
43114	1	1	小星
43114	1	1	阿迪
43265	1	1	胤禄
43265	1	1	胤禄
43265	2	0	郭络罗·锦茹
43265	3	2	郭络罗·静如
43356	1	1	小雪
43363	1	2	小夜他
43507	2	0	雪梅
43602	1	1	小好
43726	2	0	艾丽丝
43726	1	1	马丁
43775	2	0	伊丽莎白
43775	2	0	菲利普
43951	2	0	小吉
44034	1	2	阿意
44101	1	1	小夏
44152	2	0	小青
44152	2	0	小青
44435	1	1	罗恩
44510	2	0	小月
44630	2	0	小月
44755	1	1	不二周助
44755	1	1	手冢国光
44821	2	0	艾玛
44821	1	2	里弗斯
44938	2	0	良妃
44960	1	2	小溪
44960	1	2	小溪
45181	1	2	牡丹
45201	1	2	小喜
45201	1	1	青空
45217	1	2	奥斯卡·杰尔吉
45296	2	0	小桃
45336	2	0	小童
45367	1	1	阿文
45435	1	2	小蝶
45511	1	2	小爱
45523	1	2	小木偶
45523	1	1	小贵
45562	1	2	小雨
45584	1	1	小可
45588	1	1	小南
45865	1	2	阿娇
45865	1	2	阿娇
45948	2	0	克里斯
46008	2	0	老伯
46025	1	1	潘多拉
46058	2	0	亚瑟
46058	2	0	蜜雪儿
46062	1	1	莱西
46105	2	0	斐尼克司·桑
46105	2	0	朗·里德
46108	2	0	安卡列罗·伏朗维
46168	2	0	大石
46168	1	1	黑羽千惠
46168	1	2	黑羽千黛
46168	2	0	黑羽泽一
46180	2	0	小夏
46320	1	2	小妍
46327	2	0	小吉
46446	1	1	不二周助
46446	1	1	手冢国光
46502	2	0	永乐
46558	2	0	格林
46620	2	0	犬夜叉
46663	1	1	大咪
46663	2	0	阿土
46663	2	0	阿土
46701	1	2	小玉
46839	2	0	寒山
46842	1	2	嫦娥
46893	2	0	小文
47096	2	0	小关
47102	1	1	冰封·狩
47102	1	2	子恋·晔
47107	2	0	卡尔
47131	1	2	阿守
47133	1	2	飞龙
47293	2	0	小媛
47293	2	0	小媛
47293	2	0	紫玉
47346	1	1	小喬
47364	1	2	小四
47525	1	1	小希
47525	2	0	芭比
47576	1	2	小麦
47576	2	0	阿杰
47642	2	0	大地
47642	2	0	奈特
47677	2	0	老千岁
47680	1	1	橘庆太
47701	1	1	柔柔
47780	2	0	凯文
47780	3	1	安迪
47780	2	0	西平
47783	2	0	乔乔
47843	2	0	玛利亚
47868	1	2	小二
47875	1	1	小晴
47875	2	0	拉斯
47882	1	1	梵音
47939	3	0	路易斯
48038	2	0	小纪
48038	1	2	韦恩
48082	2	0	阿百
48165	2	0	小灰
48180	1	2	阿秀
48181	1	1	乾贞治
48181	1	1	海堂薰
48354	2	0	小喬
48354	2	0	諸葛亮
48466	2	0	小千
48473	1	1	花音
48513	1	2	阿舍
48594	1	1	小南
48665	1	1	阖闾
48796	1	1	小虫
48840	1	1	小宅
48903	1	2	大刚
48969	1	2	小希
49009	2	0	那奈
49009	2	0	金子贤
49033	1	1	利奥
49035	2	0	小蝶
49160	2	0	小怜
49213	1	1	小月
49325	2	0	鄭祿
49416	1	2	阿颜
49543	1	1	黑泽明彦
49721	2	0	小畅
49752	1	2	小巧
49755	2	0	小荷
49823	1	2	小妖精
49831	2	0	小叶
50018	2	0	小翠
50112	2	0	查理
50184	2	0	阿涛
50217	2	0	小曼
50537	1	1	小鱼
50581	1	2	翩翩
50707	1	1	小羽
50707	2	0	阿智
50748	2	0	小乖
50860	1	1	小今
50860	1	1	小巾
50860	2	0	阿来
50860	2	0	阿来
50920	1	2	小草
50974	1	2	小薰
50993	1	2	老妈
51038	2	0	顺治
51040	2	0	小莹
51090	1	1	阿然
51165	2	0	辛西娅
51165	2	0	阿帕拉
51229	2	0	小天
51296	2	0	阿修
51296	1	1	阿奇
51296	1	1	阿奇
51337	1	2	小青
51337	1	2	小青
51362	1	1	阿里海牙
51605	1	1	越前龙马
51732	1	1	尾生
51802	2	0	宝音
51802	1	1	阿里海牙
51966	1	1	小木
51974	2	0	兰·凡塔西
51994	1	2	褒姒
52143	1	2	小破魂
52198	1	2	小林
52198	2	0	志明
52223	1	1	乔·安迪尔
52223	1	2	安提奥珀·黑曼
52256	1	1	威克斯
52302	2	0	小书
52352	1	1	小吾
52369	1	2	小樱
52380	1	2	小薇
52380	1	1	阿木
52380	1	1	阿木
52380	2	0	阿杰
52452	2	0	杰克
52452	2	0	詹姆斯
52452	2	0	路易斯
52452	1	1	迪恩
52467	1	2	橘庆太
52479	2	0	老二
52479	1	1	老大
52495	1	1	小咪
52495	2	0	小容
52495	2	0	小爱
52495	1	2	阿燃
52624	1	1	小石头
52657	1	2	阿南
52657	1	2	阿南
52736	2	0	胤祥
52736	2	0	胤祥
52736	1	1	胤禛
52736	1	1	胤禛
52736	2	0	胤禟
52736	2	0	胤禟
52736	2	0	胤禩
52736	2	0	胤禩
52736	2	0	胤禵
52736	2	0	胤禵
52810	1	2	托托
53235	1	1	小草
53482	1	2	阿银
53592	1	2	流珠
53683	2	0	小姚
53805	2	0	嫦娥
53805	1	2	小三
53805	1	1	小二
53901	2	0	小如
53912	2	0	安东尼
53912	1	2	尼克
53912	2	0	艾米
54231	1	1	莱尔
54419	1	2	伦纳德
54498	1	1	阿九
54724	2	0	小梅
54724	2	0	老太君
54728	1	1	马修
54782	3	1	科林
54798	1	1	小桐
54815	2	0	科拉
54867	2	0	小唐
55032	1	2	大东
55108	2	0	伊藤静
55259	1	2	小七
55302	1	2	妮娜
55337	2	0	小郁
55337	2	0	阿布
55337	2	0	阿布
55445	1	2	小鱼
55458	1	1	紫凝
55560	2	0	阿风
55700	2	0	天麟
55700	1	2	小芬
55711	1	2	昭君
55800	1	2	小颜
55846	1	1	伊莎·玛丽
55846	2	0	利多维尔·休
55846	1	1	安米·德拉士
55846	2	0	维林·布布加里
55870	2	0	小杰
55870	1	1	小江
55923	1	1	阿信
55923	2	0	阿杰
55950	2	0	琳达
56007	1	1	雷诺
56137	2	0	小同
56203	1	1	微微
56312	2	0	多莉
56369	2	0	帝俊
56433	2	0	大堂
56467	1	2	阿落落
56639	2	0	小微
56658	2	0	诺诺
56748	2	0	阿杰
56769	2	0	小西
56891	1	2	小青
56891	1	2	小青
56891	3	0	胤祥
56891	3	0	胤祥
56891	3	0	胤祯
56891	3	0	胤祯
56891	3	1	胤禛
56891	3	1	胤禛
56891	2	0	胤禵
56891	2	0	胤禵
56895	1	1	小如
56915	1	2	小榭
56915	1	1	阿猫
56974	1	2	牡丹
56977	2	0	小顾
56988	1	1	阿信
56988	2	0	阿杰
56999	1	2	长平
57153	2	0	小琉
57163	2	0	阿利
57163	1	1	阿达
57207	2	0	阿杰
57242	2	0	小灿
57242	2	0	小灿
57242	2	0	小磊
57387	1	1	阿达
57442	1	2	小米
57485	1	2	小孩
57705	2	0	莱西
57713	1	2	小雪
57975	1	2	帝辛
57975	2	0	恶来
57975	2	0	比干
57975	2	0	飞廉
58139	1	2	小拓
58139	2	0	阿栋
58179	1	2	卡卡西
58180	1	2	小拓
58180	2	0	阿栋
58192	1	2	小拓
58192	2	0	阿栋
58195	1	2	小拓
58195	2	0	阿栋
58201	2	0	托马斯
58207	1	2	小四
58207	1	1	马克
58249	1	1	小龙
58261	1	2	十娘
58358	1	1	小麦
58466	2	0	小妹
58510	1	2	尤耶·芭芭安
58510	2	0	老水巫
58742	1	1	小安
58821	2	0	阿拉斯
58866	2	0	罗伊
58866	2	0	达德利
58915	2	0	希瑞·丹尼尔
58915	2	0	艾达
58956	1	2	妲己
58971	2	0	亚伯拉罕
58971	2	0	小西
58978	1	1	不二周助
58978	1	1	菊丸英二
58992	1	1	胤礽
58992	1	1	胤礽
58992	2	0	胤祉
58992	2	0	胤祉
58992	2	0	胤祥
58992	2	0	胤祥等
58992	2	0	胤禛
58992	2	0	胤禛
58993	1	2	嬴政
58998	1	1	胤祥
58998	1	1	胤祥
58998	2	0	胤禛
58998	2	0	胤禛
58998	2	0	胤禩
58998	2	0	胤禩
58998	2	0	胤禵
58998	2	0	胤禵
59020	1	1	共工
59043	1	2	伊凡
59115	1	2	小笔
59210	1	2	露雨·布朗斯
59217	1	1	老四
59292	1	1	乔伊
59520	2	0	小葵
59520	2	0	小雪
59585	1	1	小哀
59671	2	0	小鱼
59678	2	0	小瞒
59765	2	0	雪儿
59826	2	0	阿妈
59884	2	0	小晨
59904	2	0	胤礽
59904	2	0	胤礽
59904	1	2	胤祥
59904	1	2	胤祥
59904	2	0	胤禛
59904	2	0	胤禛
59907	2	0	阿九
59907	1	1	阿释
60006	1	1	小音
60041	2	0	小四
60041	2	0	阿要
60065	1	2	绿珠
60072	1	2	小爻
60132	1	2	小沁
60301	2	0	七夜
60385	1	1	夏佐
60385	1	2	小沫
60524	2	0	小桃
60535	1	1	帕特
60700	2	0	小松
60700	2	0	阿一
60731	2	0	豫让
60747	1	2	阿布
60747	1	2	阿布
60890	2	0	某堂
60973	1	2	玛利亚
60973	2	0	约翰
60987	2	0	小齐
60987	2	0	老猴
61001	1	2	小灿
61001	1	2	小灿
61001	2	0	阿强
61001	2	0	阿正
61022	2	0	大象
61117	1	1	永恒
61135	2	0	安塔利·菲尔·席斯
61135	2	0	小丁
61135	2	0	小丙
61135	1	1	小乙
61135	1	1	小乙
61135	1	2	小甲
61135	1	2	小甲
61272	2	0	小妍
61293	2	0	小可
61333	2	0	小西
61426	1	1	小苍
61454	1	1	阿遗
61564	1	2	牡丹
61696	1	1	阿德
61732	2	0	顺治
61779	1	2	小四
61798	1	1	炎魂
61909	2	0	凯莉
61961	1	2	小丫
61961	2	0	阿林
61961	2	0	阿林
62026	2	0	巴克斯
62026	2	0	阿帕拉
62058	1	1	小英
62166	1	2	小初
62166	1	1	阿森
62370	1	2	般若
62380	2	0	小丫
62418	2	0	阿姨
62489	1	1	小霜
62595	2	0	二郎神
62595	2	0	西王母
62700	1	2	小印
62700	1	1	小往
62787	1	2	小山
62913	2	0	小飞
62913	2	0	阿可
62935	3	1	亚里安
62941	2	0	伊迪斯
62966	1	2	如姬
63079	2	0	雪儿
63182	1	2	卡珊德拉
63250	2	0	凯斯
63360	1	2	小曈
63360	2	0	小轩
63421	1	2	越前龙马
63421	1	1	龙崎樱乃
63440	2	0	威廉
63789	1	1	小旺
63814	2	0	老族长
63828	1	2	阿澈小
64023	1	1	不二周助
64023	2	0	手冢国光
64023	1	1	菊丸英二
64429	1	1	白影
64525	2	0	小猫
64554	2	0	尼克
64554	2	0	拉姆
64554	2	0	诺顿
64618	1	2	小鱼
64690	1	1	小獴
64693	1	1	阿昨
64711	1	1	小乔
64711	1	1	小乔
64715	2	0	歐陽明
64804	1	1	约瑟夫·门格勒
64918	2	0	小绺儿
65186	1	1	胤禛
65186	1	1	胤禛
65186	2	0	若兰
65280	1	2	小艾
65288	1	1	小光
65297	1	1	卡伦
65470	1	2	天日心·蕾朵
65530	2	0	罗兰
65568	2	0	胤祉
65568	2	0	胤祉
65568	1	1	胤禛
65568	1	1	胤禛
65568	2	0	胤禩
65568	2	0	胤禩等
